,name,category,latitude,longitude,rating,reviews,photo,street_view
383,Pura Pasar Agung Sibetan,Hindu temple,-8.381789900000001,115.508889,4.9,20.0,https://lh5.googleusercontent.com/p/AF1QipPhIQocF8_VYVFCnWqimHbCsSY2mOk9u0_ptI-6=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPhIQocF8_VYVFCnWqimHbCsSY2mOk9u0_ptI-6=w1600-h1000-k-no
384,Dtukad Adventure Club Bali,Outdoor activity organiser,-8.5033538,115.23664620000001,4.6,187.0,https://lh5.googleusercontent.com/p/AF1QipNFV-yurgfwCffaqGVWoaP2v9JxjbSGak_wfPmx=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNFV-yurgfwCffaqGVWoaP2v9JxjbSGak_wfPmx=w1600-h1000-k-no
385,Sayan Night Market,Market,-8.5205038,115.2403003,4.2,632.0,https://lh5.googleusercontent.com/p/AF1QipPabYNDxe46YeZS0nhAG2jiS2R2DR2yRAJK6QsL=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPabYNDxe46YeZS0nhAG2jiS2R2DR2yRAJK6QsL=w1600-h1000-k-no
386,Pasar Senggol Gianyar,Night market,-8.5428315,115.32225520000001,4.4,5904.0,https://lh5.googleusercontent.com/p/AF1QipPfoyohb7vjk-pSBKLNEbsZ6T1EPhrnkzEWXpjY=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPfoyohb7vjk-pSBKLNEbsZ6T1EPhrnkzEWXpjY=w1600-h1000-k-no
387,MARKET PEPITO LOVINA,Supermarket,-8.1642841,115.0214253,4.5,1047.0,https://lh5.googleusercontent.com/p/AF1QipMEavZfPjIbAApjkXKNqNPmt9SCJiwNmhI0ya8A=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMEavZfPjIbAApjkXKNqNPmt9SCJiwNmhI0ya8A=w1600-h1000-k-no
388,Sindhu Night Market,Market,-8.6852191,115.2599271,4.4,964.0,https://lh5.googleusercontent.com/p/AF1QipP4USwzya4TxK0zAO1Fg3xsUKDqxyZt9xoUhog=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipP4USwzya4TxK0zAO1Fg3xsUKDqxyZt9xoUhog=w1600-h1000-k-no
389,Bedugul Traditional Market,Market,-8.2825171,115.1622531,4.3,4238.0,https://lh5.googleusercontent.com/p/AF1QipMS_I5R00u5HDKWQNQwmvSnKcOnGY4AYoyveN4_=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMS_I5R00u5HDKWQNQwmvSnKcOnGY4AYoyveN4_=w1600-h1000-k-no
390,Senggol Market Night Market,Market,-8.724915800000002,115.17821129999999,4.2,523.0,https://lh5.googleusercontent.com/p/AF1QipMuJiQXaUsIGGJzJpiV-O7jzb_LW0RvQ_nUaPji=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMuJiQXaUsIGGJzJpiV-O7jzb_LW0RvQ_nUaPji=w1600-h1000-k-no
391,Local Food Plaza,Food court,-8.7117506,115.17424550000001,4.2,233.0,https://lh5.googleusercontent.com/p/AF1QipNSqwpcD0FZasZ2wU4tqTrtbXPLcfDzNoNkkJpS=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPBdGBPFwzO59IU_XRn19_4gR8nEzbeMpOvAybW=w1600-h1000-k-no
392,Sanur night market,Cafe,-8.6852272,115.2601003,4.9,26.0,https://lh5.googleusercontent.com/p/AF1QipOO0sy9V73lEB_Nvk6ImemAb6iYrl_rWkX6cQmr=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOO0sy9V73lEB_Nvk6ImemAb6iYrl_rWkX6cQmr=w1600-h1000-k-no
